level,old_build,new_build,old_skills,new_skills,old_gold_before,new_gold_before,old_gold_earned,new_gold_earned,old_xp_before,new_xp_before,old_xp_earned,new_xp_earned,old_stars_before,new_stars_before,build_changed
046,char=vanguard@10;weapon=weapon_scattergun@38;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@36;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,802,420,7222,7222,14,14,1326,1326,1,1,yes
047,char=vanguard@11;weapon=weapon_scattergun@39;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@37;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,132,724,6618,6618,1340,1340,1058,1058,3,3,yes
048,char=vanguard@11;weapon=weapon_scattergun@40;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@38;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,534,60,7985,7985,2398,2398,1412,1412,5,5,yes
049,char=vanguard@11;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@39;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,425,179,6907,6907,3810,3810,1203,1203,7,7,yes
050,char=vanguard@11;weapon=weapon_scattergun@42;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@6;sig=3,char=vanguard@12;weapon=weapon_scattergun@40;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@3;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,552,15,9646,9646,1013,1013,1815,1815,1,1,yes
051,char=vanguard@11;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@6;sig=3,char=vanguard@12;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@5;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,34,180,2651,2651,2828,2828,948,948,3,3,yes
052,char=vanguard@11;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@6;sig=3,char=vanguard@12;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@6;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:3|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,349,225,2844,2844,3776,3776,1767,1767,5,5,yes
053,char=vanguard@11;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@12;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@7;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,272,148,3105,3105,1543,1543,1336,1336,7,7,yes
054,char=vanguard@11;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@12;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,497,241,3038,3038,2879,2879,1671,1671,9,9,yes
055,char=vanguard@12;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@13;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,455,97,2873,2873,550,550,1798,1798,11,11,yes
056,char=vanguard@13;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@13;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,146,410,2975,2975,2348,2348,1549,1549,13,13,yes
057,char=vanguard@13;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@13;weapon=weapon_scattergun@41;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,561,58,4717,4717,3897,3897,1530,1530,15,15,yes
058,char=vanguard@13;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@13;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,2,281,3223,3223,1427,1427,1623,1623,17,17,yes
059,char=vanguard@14;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,296,53,3187,3187,3050,3050,1855,1855,19,19,yes
060,char=vanguard@14;weapon=weapon_scattergun@43;armor=armor_kevlar@10;chip=chip_attack@11;pet=pet_turret_drone@7;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,175,456,6858,6858,905,905,2249,2249,21,21,yes
061,char=vanguard@14;weapon=weapon_scattergun@44;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:3|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,45,582,9266,3762,3154,3154,1530,1530,23,23,yes
062,char=vanguard@15;weapon=weapon_scattergun@45;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,161,270,10168,3822,684,684,1676,1676,25,25,yes
063,char=vanguard@15;weapon=weapon_scattergun@46;armor=armor_kevlar@10;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,129,171,8408,3566,2360,2360,1253,1253,27,27,yes
064,char=vanguard@15;weapon=weapon_scattergun@47;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@8;sig=3,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@9;sig=3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,155,729,11671,3608,3613,3613,2013,2022,29,29,yes
065,char=vanguard@15;weapon=weapon_scattergun@48;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=4,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@9;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,43,693,13121,4226,226,235,2334,2386,31,31,yes
066,char=vanguard@15;weapon=weapon_scattergun@49;armor=armor_kevlar@11;chip=chip_attack@12;pet=pet_turret_drone@9;sig=4,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@9;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:3|skill_split_shot:3,508,551,12100,3571,2560,2621,2197,2197,33,33,yes
067,char=vanguard@15;weapon=weapon_scattergun@50;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@9;sig=4,char=vanguard@14;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:3,641,32,10502,4718,757,818,1731,1731,35,35,yes
068,char=vanguard@15;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@9;sig=4,char=vanguard@15;weapon=weapon_scattergun@41;armor=armor_kevlar@11;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:3,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:3,325,54,12995,4310,2488,2549,2226,2226,37,37,yes
069,char=vanguard@15;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@9;sig=4,char=vanguard@15;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,29,210,11471,4651,714,775,1856,1856,39,39,yes
070,char=vanguard@15;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@9;sig=4,char=vanguard@15;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:3|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,448,199,13774,4295,2570,2631,2382,2442,41,41,yes
071,char=vanguard@15;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,484,336,13320,3874,952,1073,2310,2310,43,43,yes
072,char=vanguard@16;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@10;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:3|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,630,754,13322,3677,3262,3383,2246,2246,45,45,yes
073,char=vanguard@17;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,724,26,14319,4009,1508,1629,2482,2482,47,47,yes
074,char=vanguard@17;weapon=weapon_scattergun@50;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@41;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,901,605,12971,4871,3990,4111,2255,2255,49,49,yes
075,char=vanguard@18;weapon=weapon_scattergun@50;armor=armor_kevlar@13;chip=chip_attack@14;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@42;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,509,256,13604,5128,6245,6366,2155,2155,51,51,yes
076,char=vanguard@19;weapon=weapon_scattergun@50;armor=armor_kevlar@13;chip=chip_attack@15;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:4|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,303,38,14215,4425,8400,21,2359,2359,53,53,yes
077,char=vanguard@19;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@15;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,505,273,13855,5028,2259,2380,2241,2241,55,55,yes
078,char=vanguard@19;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@15;pet=pet_turret_drone@10;sig=4,char=vanguard@16;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@13;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,136,345,13843,4629,4500,4621,2371,2371,57,57,yes
079,char=vanguard@20;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,char=vanguard@16;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:4|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,924,307,14266,5106,6871,6992,2413,2413,59,59,yes
080,char=vanguard@20;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,char=vanguard@17;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,280,65,18596,5552,784,905,3406,3406,61,61,yes
081,char=vanguard@20;weapon=weapon_scattergun@50;armor=armor_kevlar@14;chip=chip_attack@16;pet=pet_turret_drone@11;sig=4,char=vanguard@17;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,664,493,14264,4340,4190,4311,2321,2321,63,63,yes
082,char=vanguard@21;weapon=weapon_scattergun@50;armor=armor_kevlar@15;chip=chip_attack@17;pet=pet_turret_drone@12;sig=4,char=vanguard@17;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:4|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,790,405,13694,4321,6511,6632,2303,2303,65,65,yes
083,char=vanguard@21;weapon=weapon_scattergun@50;armor=armor_kevlar@15;chip=chip_attack@17;pet=pet_turret_drone@12;sig=4,char=vanguard@17;weapon=weapon_scattergun@43;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,708,822,14280,5186,314,435,2370,2370,67,67,yes
084,char=vanguard@22;weapon=weapon_scattergun@50;armor=armor_kevlar@15;chip=chip_attack@18;pet=pet_turret_drone@12;sig=4,char=vanguard@17;weapon=weapon_scattergun@44;armor=armor_kevlar@12;chip=chip_attack@14;pet=pet_turret_drone@11;sig=4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,skill_barrier:4|skill_charge_shot:4|skill_critical:4|skill_homing:5|skill_multishot:5|skill_pierce:5|skill_ricochet:4|skill_salvo:4|skill_slow_field:4|skill_split_shot:4,1036,536,15550,4434,2684,2805,2597,2597,69,69,yes
